"","zc","Región"
"1","01000","10"
"2","01010","10"
"3","01020","6"
"4","01030","6"
"6","01040","6"
"7","01048","10"
"8","01049","10"
"9","01050","6"
"10","01060","10"
"12","01070","6"
"13","01080","10"
"14","01089","10"
"15","01090","10"
"18","01100","9"
"19","01109","9"
"20","01110","9"
"24","01120","9"
"28","01125","9"
"29","01130","9"
"33","01139","9"
"34","01140","9"
"36","01150","10"
"38","01160","10"
"42","01170","10"
"44","01180","8"
"47","01184","8"
"48","01200","10"
"49","01210","9"
"50","01219","9"
"51","01220","10"
"57","01230","9"
"62","01239","9"
"63","01240","10"
"64","01250","10"
"69","01259","10"
"71","01260","10"
"76","01269","10"
"77","01270","10"
"78","01275","10"
"79","01276","10"
"80","01278","10"
"81","01279","10"
"82","01280","10"
"87","01285","10"
"88","01289","10"
"89","01290","10"
"91","01296","10"
"94","01298","10"
"95","01299","10"
"97","01310","9"
"98","01320","9"
"99","01330","9"
"100","01340","9"
"101","01376","9"
"105","01377","10"
"106","01379","10"
"107","01389","9"
"108","01400","10"
"110","01407","10"
"111","01408","10"
"112","01410","10"
"114","01419","10"
"115","01420","10"
"117","01430","10"
"118","01440","10"
"119","01450","10"
"122","01460","10"
"123","01470","10"
"125","01480","10"
"126","01490","10"
"128","01500","10"
"130","01509","10"
"131","01510","10"
"134","01520","10"
"139","01530","10"
"140","01537","10"
"141","01538","10"
"142","01539","10"
"143","01540","10"
"144","01548","10"
"145","01549","10"
"146","01550","10"
"149","01560","10"
"150","01566","10"
"151","01567","10"
"152","01569","10"
"153","01588","10"
"154","01590","10"
"155","01600","10"
"156","01610","10"
"157","01618","10"
"158","01619","10"
"160","01620","10"
"161","01630","10"
"162","01640","10"
"163","01645","10"
"164","01650","10"
"165","01700","10"
"171","01708","10"
"172","01710","10"
"174","01720","10"
"175","01729","10"
"176","01730","10"
"178","01740","10"
"181","01750","10"
"184","01759","10"
"185","01760","10"
"188","01770","10"
"190","01780","10"
"192","01788","10"
"193","01789","10"
"194","01790","10"
"196","01800","10"
"197","01807","10"
"198","01810","10"
"199","01820","10"
"201","01830","10"
"202","01840","10"
"203","01849","10"
"205","01856","10"
"206","01857","10"
"207","01859","10"
"208","01860","10"
"209","01863","10"
"210","01870","10"
"211","01900","10"
"212","01904","10"
"213","01940","10"
"214","01990","10"
"215","02000","14"
"216","02010","14"
"219","02020","14"
"221","02040","14"
"223","02050","14"
"225","02060","14"
"227","02070","14"
"229","02080","14"
"231","02090","14"
"232","02099","14"
"233","02100","14"
"234","02109","14"
"235","02110","14"
"236","02120","14"
"237","02125","14"
"238","02128","14"
"239","02129","14"
"240","02130","14"
"241","02140","14"
"242","02150","14"
"243","02160","14"
"244","02169","14"
"245","02200","14"
"246","02230","14"
"247","02240","14"
"249","02250","14"
"250","02260","14"
"251","02300","14"
"252","02310","14"
"253","02320","14"
"254","02330","14"
"255","02340","14"
"256","02350","14"
"257","02360","14"
"258","02400","14"
"259","02409","14"
"260","02410","14"
"261","02419","14"
"262","02420","14"
"264","02430","14"
"265","02440","14"
"266","02450","14"
"267","02459","14"
"268","02460","14"
"269","02470","14"
"270","02479","14"
"271","02480","14"
"272","02490","14"
"273","02500","14"
"274","02510","14"
"275","02519","14"
"276","02520","14"
"277","02525","14"
"278","02530","14"
"279","02540","14"
"280","02600","14"
"281","02630","14"
"283","02640","14"
"284","02650","14"
"285","02660","14"
"286","02670","14"
"287","02680","14"
"288","02700","14"
"289","02710","14"
"290","02718","14"
"291","02719","14"
"292","02720","14"
"294","02729","14"
"295","02730","14"
"296","02739","14"
"297","02750","14"
"299","02760","14"
"301","02770","14"
"302","02780","14"
"303","02790","14"
"304","02800","14"
"305","02810","14"
"307","02830","14"
"308","02840","14"
"309","02850","14"
"310","02860","14"
"311","02870","14"
"312","02900","14"
"313","02910","14"
"314","02920","14"
"315","02930","14"
"316","02940","14"
"317","02950","14"
"318","02960","14"
"319","02970","14"
"320","02980","14"
"322","02990","14"
"323","03000","7"
"324","03010","7"
"325","03020","7"
"326","03023","7"
"327","03100","8"
"329","03103","8"
"330","03104","8"
"331","03200","8"
"332","03220","8"
"333","03230","7"
"334","03240","6"
"335","03300","7"
"336","03303","7"
