"zc","Región","codigoPostal"
1000,10,"01000"
1010,10,"01010"
1020,6,"01020"
1030,6,"01030"
1040,6,"01040"
1048,10,"01048"
1049,10,"01049"
1050,6,"01050"
1060,10,"01060"
1070,6,"01070"
1080,10,"01080"
1089,10,"01089"
1090,10,"01090"
1100,9,"01100"
1109,9,"01109"
1110,9,"01110"
1120,9,"01120"
1125,9,"01125"
1130,9,"01130"
1139,9,"01139"
1140,9,"01140"
1150,10,"01150"
1160,10,"01160"
1170,10,"01170"
1180,10,"01180"
1184,10,"01184"
1200,10,"01200"
1210,9,"01210"
1219,9,"01219"
1220,10,"01220"
1230,9,"01230"
1239,10,"01239"
1240,10,"01240"
1250,10,"01250"
1259,10,"01259"
1260,10,"01260"
1269,10,"01269"
1270,10,"01270"
1275,10,"01275"
1276,10,"01276"
1278,10,"01278"
1279,10,"01279"
1280,10,"01280"
1285,10,"01285"
1289,10,"01289"
1290,10,"01290"
1296,10,"01296"
1298,10,"01298"
1299,10,"01299"
1310,9,"01310"
1320,9,"01320"
1330,9,"01330"
1340,9,"01340"
1376,9,"01376"
1377,10,"01377"
1379,10,"01379"
1389,9,"01389"
1400,10,"01400"
1407,10,"01407"
1408,10,"01408"
1410,10,"01410"
1419,10,"01419"
1420,10,"01420"
1430,10,"01430"
1440,10,"01440"
1450,10,"01450"
1460,10,"01460"
1470,10,"01470"
1480,10,"01480"
1490,10,"01490"
1500,10,"01500"
1509,10,"01509"
1510,10,"01510"
1520,10,"01520"
1530,10,"01530"
1537,10,"01537"
1538,10,"01538"
1539,10,"01539"
1540,10,"01540"
1548,10,"01548"
1549,10,"01549"
1550,10,"01550"
1560,10,"01560"
1566,10,"01566"
1567,10,"01567"
1569,10,"01569"
1588,10,"01588"
1590,10,"01590"
1600,10,"01600"
1610,10,"01610"
1618,10,"01618"
1619,10,"01619"
1620,10,"01620"
1630,10,"01630"
1640,10,"01640"
1645,10,"01645"
1650,10,"01650"
1700,10,"01700"
1708,10,"01708"
1710,10,"01710"
1720,10,"01720"
1729,10,"01729"
1730,10,"01730"
1740,10,"01740"
1750,10,"01750"
1759,10,"01759"
1760,10,"01760"
1770,10,"01770"
1780,10,"01780"
1788,10,"01788"
1789,10,"01789"
1790,10,"01790"
1800,10,"01800"
1807,10,"01807"
1810,10,"01810"
1820,10,"01820"
1830,10,"01830"
1840,10,"01840"
1849,10,"01849"
1856,16,"01856"
1857,10,"01857"
1859,10,"01859"
1860,10,"01860"
1863,16,"01863"
1870,10,"01870"
1900,10,"01900"
1904,10,"01904"
1940,10,"01940"
1990,10,"01990"
2000,14,"02000"
2010,14,"02010"
2020,14,"02020"
2040,14,"02040"
2050,14,"02050"
2060,14,"02060"
2070,14,"02070"
2080,14,"02080"
2090,14,"02090"
2099,14,"02099"
2100,14,"02100"
2109,14,"02109"
2110,14,"02110"
2120,14,"02120"
2125,14,"02125"
2128,14,"02128"
2129,14,"02129"
2130,14,"02130"
2140,14,"02140"
2150,14,"02150"
2160,14,"02160"
2169,14,"02169"
2200,14,"02200"
2230,14,"02230"
2240,14,"02240"
2250,14,"02250"
2260,14,"02260"
2300,14,"02300"
2310,14,"02310"
2320,14,"02320"
2330,14,"02330"
2340,14,"02340"
2350,14,"02350"
2360,14,"02360"
2400,14,"02400"
2409,14,"02409"
2410,14,"02410"
2419,14,"02419"
2420,14,"02420"
2430,14,"02430"
2440,14,"02440"
2450,14,"02450"
2459,14,"02459"
2460,14,"02460"
2470,14,"02470"
2479,14,"02479"
2480,14,"02480"
2490,14,"02490"
2500,14,"02500"
2510,14,"02510"
2519,14,"02519"
2520,14,"02520"
2525,14,"02525"
2530,14,"02530"
2540,14,"02540"
2600,14,"02600"
2630,14,"02630"
2640,14,"02640"
2650,14,"02650"
2660,14,"02660"
2670,14,"02670"
2680,14,"02680"
2700,14,"02700"
2710,14,"02710"
2718,14,"02718"
2719,14,"02719"
2720,14,"02720"
2729,14,"02729"
2730,14,"02730"
2739,14,"02739"
2750,14,"02750"
2760,14,"02760"
2770,14,"02770"
2780,14,"02780"
2790,14,"02790"
2800,14,"02800"
2810,14,"02810"
2830,14,"02830"
2840,14,"02840"
2850,14,"02850"
2860,14,"02860"
2870,14,"02870"
2900,14,"02900"
2910,14,"02910"
2920,14,"02920"
2930,14,"02930"
2940,1,"02940"
2950,14,"02950"
2960,14,"02960"
2970,14,"02970"
2980,14,"02980"
2990,14,"02990"
3000,7,"03000"
3010,7,"03010"
3020,7,"03020"
3023,7,"03023"
3100,8,"03100"
3103,8,"03103"
3104,8,"03104"
3200,8,"03200"
3220,8,"03220"
3230,7,"03230"
3240,7,"03240"
3300,7,"03300"
3303,7,"03303"
3310,7,"03310"
3313,7,"03313"
3320,7,"03320"
3330,7,"03330"
3340,7,"03340"
3400,7,"03400"
3410,7,"03410"
3420,7,"03420"
3430,7,"03430"
3440,7,"03440"
3500,7,"03500"
3510,7,"03510"
3520,7,"03520"
3530,7,"03530"
3540,7,"03540"
3550,7,"03550"
3560,7,"03560"
3570,7,"03570"
3580,7,"03580"
3590,7,"03590"
3600,7,"03600"
3610,7,"03610"
3620,7,"03620"
3630,7,"03630"
3640,7,"03640"
3650,7,"03650"
3660,7,"03660"
3700,7,"03700"
3710,8,"03710"
3720,8,"03720"
3730,8,"03730"
3740,8,"03740"
3800,8,"03800"
3810,8,"03810"
3820,8,"03820"
3840,8,"03840"
3900,7,"03900"
3910,7,"03910"
3920,7,"03920"
3930,7,"03930"
3940,7,"03940"
4000,6,"04000"
4010,6,"04010"
4020,6,"04020"
4030,6,"04030"
4040,6,"04040"
4100,6,"04100"
4110,6,"04110"
4120,6,"04120"
4200,6,"04200"
4210,6,"04210"
4230,6,"04230"
4239,3,"04239"
4240,6,"04240"
4250,6,"04250"
4259,6,"04259"
4260,6,"04260"
4270,6,"04270"
4280,6,"04280"
4300,6,"04300"
4307,6,"04307"
4309,6,"04309"
4310,6,"04310"
4317,6,"04317"
4318,6,"04318"
4319,6,"04319"
4320,6,"04320"
4326,6,"04326"
4327,6,"04327"
4330,6,"04330"
4336,6,"04336"
4337,6,"04337"
4338,6,"04338"
4340,6,"04340"
4350,6,"04350"
4359,6,"04359"
4360,6,"04360"
4368,6,"04368"
4369,6,"04369"
4370,6,"04370"
4380,6,"04380"
4390,6,"04390"
4400,6,"04400"
4410,6,"04410"
4420,6,"04420"
4440,6,"04440"
4450,6,"04450"
4460,6,"04460"
4470,6,"04470"
4480,6,"04480"
4489,6,"04489"
4490,6,"04490"
4500,6,"04500"
4510,6,"04510"
4519,6,"04519"
4530,6,"04530"
4535,6,"04535"
4600,6,"04600"
4610,6,"04610"
4620,6,"04620"
4630,6,"04630"
4640,6,"04640"
4650,6,"04650"
4660,6,"04660"
4700,6,"04700"
4710,6,"04710"
4718,6,"04718"
4719,6,"04719"
4720,6,"04720"
4729,6,"04729"
4730,6,"04730"
4738,6,"04738"
4739,6,"04739"
4800,6,"04800"
4810,6,"04810"
4815,6,"04815"
4830,6,"04830"
4840,6,"04840"
4849,6,"04849"
4850,6,"04850"
4870,6,"04870"
4890,6,"04890"
4899,6,"04899"
4908,6,"04908"
4909,6,"04909"
4910,6,"04910"
4918,6,"04918"
4919,6,"04919"
4920,6,"04920"
4929,6,"04929"
4930,6,"04930"
4938,6,"04938"
4939,6,"04939"
4940,6,"04940"
4950,6,"04950"
4960,6,"04960"
4970,6,"04970"
4980,6,"04980"
5000,9,"05000"
5010,9,"05010"
5020,9,"05020"
5030,9,"05030"
5039,9,"05039"
5050,9,"05050"
5060,9,"05060"
5100,9,"05100"
5110,9,"05110"
5118,9,"05118"
5119,9,"05119"
5120,9,"05120"
5126,9,"05126"
5128,9,"05128"
5129,9,"05129"
5130,9,"05130"
5200,9,"05200"
5214,9,"05214"
5219,9,"05219"
5220,9,"05220"
5230,9,"05230"
5238,9,"05238"
5240,9,"05240"
5249,9,"05249"
5260,9,"05260"
5268,9,"05268"
5269,9,"05269"
5270,9,"05270"
5280,9,"05280"
5310,9,"05310"
5320,9,"05320"
5330,9,"05330"
5348,9,"05348"
5349,9,"05349"
5360,9,"05360"
5370,9,"05370"
5379,9,"05379"
5400,9,"05400"
5410,9,"05410"
5500,9,"05500"
5530,9,"05530"
5600,9,"05600"
5610,10,"05610"
5619,9,"05619"
5620,9,"05620"
5700,9,"05700"
5710,9,"05710"
5730,16,"05730"
5760,16,"05760"
5780,9,"05780"
6000,11,"06000"
6010,11,"06010"
6020,11,"06020"
6030,11,"06030"
6040,11,"06040"
6050,11,"06050"
6060,11,"06060"
6070,11,"06070"
6080,11,"06080"
6090,11,"06090"
6100,12,"06100"
6140,12,"06140"
6170,12,"06170"
6200,2,"06200"
6220,1,"06220"
6240,2,"06240"
6250,1,"06250"
6270,2,"06270"
6280,2,"06280"
6300,11,"06300"
6350,11,"06350"
6400,11,"06400"
6430,14,"06430"
6450,14,"06450"
6470,11,"06470"
6500,11,"06500"
6600,12,"06600"
6700,12,"06700"
6720,11,"06720"
6728,11,"06728"
6740,12,"06740"
6760,12,"06760"
6780,2,"06780"
6800,11,"06800"
6820,2,"06820"
6840,2,"06840"
6850,2,"06850"
6860,2,"06860"
6870,2,"06870"
6880,2,"06880"
6890,2,"06890"
6900,14,"06900"
6920,14,"06920"
7000,1,"07000"
7010,1,"07010"
7020,1,"07020"
7040,1,"07040"
7050,1,"07050"
7058,1,"07058"
7060,1,"07060"
7069,1,"07069"
7070,1,"07070"
7080,1,"07080"
7089,1,"07089"
7090,1,"07090"
7100,16,"07100"
7109,16,"07109"
7110,16,"07110"
7119,16,"07119"
7130,16,"07130"
7140,16,"07140"
7144,16,"07144"
7149,16,"07149"
7150,16,"07150"
7160,16,"07160"
7164,16,"07164"
7170,16,"07170"
7180,16,"07180"
7183,16,"07183"
7187,16,"07187"
7188,16,"07188"
7189,16,"07189"
7190,16,"07190"
7199,16,"07199"
7200,16,"07200"
7207,16,"07207"
7209,16,"07209"
7210,16,"07210"
7214,16,"07214"
7220,16,"07220"
7224,16,"07224"
7230,16,"07230"
7239,16,"07239"
7240,16,"07240"
7248,16,"07248"
7249,16,"07249"
7250,16,"07250"
7259,16,"07259"
7268,16,"07268"
7269,16,"07269"
7270,16,"07270"
7279,16,"07279"
7280,16,"07280"
7290,16,"07290"
7300,1,"07300"
7310,16,"07310"
7320,1,"07320"
7323,1,"07323"
7326,1,"07326"
7327,1,"07327"
7328,1,"07328"
7329,1,"07329"
7330,16,"07330"
7340,1,"07340"
7349,1,"07349"
7350,16,"07350"
