"Región","areaRegion","domicilios","expedientes","distanciaJLCA"
1,63.9039474210923,654,1914,7.59777952833135
2,60.8090629217222,892,2463,5.22798148204568
3,112.38567093967,559,1574,12.5039600015027
5,301.682558101452,326,833,23.8247686927166
6,66.9254925128573,797,2392,11.2678132873715
7,17.8289217124983,1153,3648,5.17888340674168
8,8.72004096096615,1011,3357,5.31204801728224
9,55.4273356640073,632,2286,17.0569139006085
10,130.730499156507,633,1727,17.3901771238984
11,16.2328181405293,1212,3752,0.886733441779307
12,7.38806781710921,1004,3636,2.34124462843134
13,33.4992487024055,368,1232,6.63655602467504
14,36.1695206601387,635,3499,7.38687744307422
15,13.4208581303097,1127,3837,5.32838612353951
16,561.596990662429,123,313,26.093073516548
