"Región","CP","domicilios","expedientes","Colonia","Delegación","renglon"
10,"01000",93,332,"San Ángel","Álvaro Obregón",1
10,"01010",92,452,"Los Alpes","Álvaro Obregón",1
6,"01020",161,925,"Guadalupe Inn","Álvaro Obregón",1
6,"01030",140,444,"Florida","Álvaro Obregón",1
6,"01030",0,0,"Axotla","Álvaro Obregón",2
6,"01040",8,15,"Campestre","Álvaro Obregón",1
10,"01048",2,6,"Las Águilas","Álvaro Obregón",1
10,"01049",6,14,"Tlacopac","Álvaro Obregón",1
6,"01050",35,172,"Ex-Hacienda de Guadalupe Chimalistac","Álvaro Obregón",1
10,"01060",15,49,"Altavista","Álvaro Obregón",1
10,"01060",0,0,"San Ángel Inn","Álvaro Obregón",2
6,"01070",27,83,"Chimalistac","Álvaro Obregón",1
10,"01080",8,13,"Progreso Tizapan","Álvaro Obregón",1
10,"01089",3,8,"Ermita Tizapan","Álvaro Obregón",1
10,"01090",99,322,"Loreto","Álvaro Obregón",1
10,"01090",0,0,"Tizapan","Álvaro Obregón",2
10,"01090",0,0,"La Otra Banda","Álvaro Obregón",3
9,"01110",5,8,"Ampliación El Capulín","Álvaro Obregón",1
9,"01110",0,0,"Belém de las Flores","Álvaro Obregón",2
9,"01110",0,0,"El Capulín","Álvaro Obregón",3
9,"01110",0,0,"Liberales de 1857","Álvaro Obregón",4
9,"01120",16,40,"Acueducto","Álvaro Obregón",1
9,"01120",0,0,"Cove","Álvaro Obregón",2
9,"01120",0,0,"Hidalgo","Álvaro Obregón",3
9,"01120",0,0,"Las Américas","Álvaro Obregón",4
9,"01130",6,22,"Molino de Santo Domingo","Álvaro Obregón",1
9,"01130",0,0,"Paraíso","Álvaro Obregón",2
9,"01130",0,0,"Real del Monte","Álvaro Obregón",3
9,"01130",0,0,"Molino de Santo Domingo","Álvaro Obregón",4
9,"01140",12,37,"José Maria Pino Suárez","Álvaro Obregón",1
9,"01140",0,0,"Bellavista","Álvaro Obregón",2
10,"01150",10,34,"Tolteca","Álvaro Obregón",1
10,"01150",0,0,"Cristo Rey","Álvaro Obregón",2
10,"01160",1,2,"Bosque","Álvaro Obregón",1
10,"01160",0,0,"Maria G. de García Ruiz","Álvaro Obregón",2
10,"01160",0,0,"Isidro Fabela","Álvaro Obregón",3
10,"01160",0,0,"1a Victoria","Álvaro Obregón",4
10,"01170",2,3,"Abraham M. González","Álvaro Obregón",1
10,"01170",0,0,"Santa Fe IMSS","Álvaro Obregón",2
10,"01180",72,274,"8 de Agosto","Álvaro Obregón",1
10,"01180",0,0,"San Pedro de los Pinos","Álvaro Obregón",2
10,"01180",0,0,"Carola","Álvaro Obregón",3
9,"01210",20,53,"Santa Fe","Álvaro Obregón",1
9,"01219",11,25,"Lomas de Santa Fe","Álvaro Obregón",1
10,"01220",5,12,"Cuevitas","Álvaro Obregón",1
10,"01220",0,0,"La Estrella","Álvaro Obregón",2
10,"01220",0,0,"Zenón Delgado","Álvaro Obregón",3
10,"01220",0,0,"Mártires de Tacubaya","Álvaro Obregón",4
10,"01220",0,0,"Bonanza","Álvaro Obregón",5
10,"01220",0,0,"El Cuernito","Álvaro Obregón",6
9,"01230",1,2,"Tlapechico","Álvaro Obregón",1
9,"01230",0,0,"Los Gamitos","Álvaro Obregón",2
9,"01230",0,0,"Campo de Tiro los Gamitos","Álvaro Obregón",3
9,"01230",0,0,"El Piru Santa Fe","Álvaro Obregón",4
9,"01230",0,0,"El Piru 2a Ampliación","Álvaro Obregón",5
10,"01240",2,4,"Pueblo Nuevo","Álvaro Obregón",1
10,"01250",1,1,"Margarita Maza de Juárez","Álvaro Obregón",1
10,"01250",0,0,"El Árbol","Álvaro Obregón",2
10,"01250",0,0,"Tecolalco","Álvaro Obregón",3
10,"01250",0,0,"Ladera","Álvaro Obregón",4
10,"01250",0,0,"Lomas de Nuevo México","Álvaro Obregón",5
10,"01259",1,1,"La Mexicana 2a Ampliación","Álvaro Obregón",1
10,"01259",0,0,"Ampliación La Cebada","Álvaro Obregón",2
10,"01260",5,13,"La Palmita","Álvaro Obregón",1
10,"01260",0,0,"La Mexicana","Álvaro Obregón",2
10,"01260",0,0,"Ampliación La Mexicana","Álvaro Obregón",3
10,"01260",0,0,"Calzada Jalalpa","Álvaro Obregón",4
10,"01260",0,0,"Liberación Proletaria","Álvaro Obregón",5
10,"01280",7,15,"La Joya","Álvaro Obregón",1
10,"01280",0,0,"Arvide","Álvaro Obregón",2
10,"01280",0,0,"El Pocito","Álvaro Obregón",3
10,"01280",0,0,"Francisco Villa","Álvaro Obregón",4
10,"01280",0,0,"Lomas de Becerra","Álvaro Obregón",5
10,"01290",2,6,"Piloto Adolfo López Mateos","Álvaro Obregón",1
10,"01290",0,0,"Presidentes","Álvaro Obregón",2
10,"01296",1,4,"Jalalpa Tepito","Álvaro Obregón",1
10,"01296",0,0,"Ampliación Jalalpa","Álvaro Obregón",2
10,"01296",0,0,"Jalalpa Tepito 2a Ampliación","Álvaro Obregón",3
10,"01298",4,14,"Ampliación Piloto Adolfo López Mateos","Álvaro Obregón",1
10,"01299",2,4,"2a Ampliación Presidentes","Álvaro Obregón",1
10,"01299",0,0,"1a Ampliación Presidentes","Álvaro Obregón",2
9,"01310",1,3,"San Gabriel","Álvaro Obregón",1
9,"01320",2,6,"Carlos A. Madrazo","Álvaro Obregón",1
9,"01330",33,167,"Paseo de las Lomas","Álvaro Obregón",1
9,"01340",1,3,"Bejero del Pueblo Santa Fe","Álvaro Obregón",1
9,"01376",315,1105,"Santa Fe La Loma","Álvaro Obregón",1
9,"01376",0,0,"Santa Fe Centro Ciudad","Álvaro Obregón",2
9,"01376",0,0,"Santa Fe","Álvaro Obregón",3
9,"01376",0,0,"Santa Fe Peña Blanca","Álvaro Obregón",4
10,"01377",1,3,"Jalalpa El Grande","Álvaro Obregón",1
10,"01400",14,31,"Olivar del Conde 1a Sección","Álvaro Obregón",1
10,"01400",0,0,"Preconcreto","Álvaro Obregón",2
10,"01408",9,18,"Olivar del Conde 2a Sección","Álvaro Obregón",1
10,"01410",2,3,"Barrio Norte","Álvaro Obregón",1
10,"01410",0,0,"Palmas","Álvaro Obregón",2
10,"01419",9,24,"Minas Cristo Rey","Álvaro Obregón",1
10,"01420",11,46,"Sacramento","Álvaro Obregón",1
10,"01420",0,0,"Santa María Nonoalco","Álvaro Obregón",2
10,"01430",5,6,"Colina del Sur","Álvaro Obregón",1
10,"01450",3,3,"Batallón de San Patricio","Álvaro Obregón",1
10,"01450",0,0,"Hogar y Redención","Álvaro Obregón",2
10,"01450",0,0,"Unidad Popular Emiliano Zapata","Álvaro Obregón",3
10,"01460",18,72,"Alfonso XIII","Álvaro Obregón",1
10,"01470",13,40,"Molino de Rosas","Álvaro Obregón",1
10,"01470",0,0,"Alfalfar","Álvaro Obregón",2
10,"01480",6,15,"Lomas de Plateros","Álvaro Obregón",1
10,"01490",5,6,"Torres de Mixcoac","Álvaro Obregón",1
10,"01490",0,0,"La Cascada","Álvaro Obregón",2
10,"01500",3,6,"Santa Lucía","Álvaro Obregón",1
10,"01500",0,0,"Miguel Gaona Armenta","Álvaro Obregón",2
10,"01510",5,10,"Garcimarrero","Álvaro Obregón",1
10,"01510",0,0,"Los Cedros","Álvaro Obregón",2
10,"01510",0,0,"La Araña","Álvaro Obregón",3
10,"01520",1,3,"Estado de Hidalgo","Álvaro Obregón",1
10,"01520",0,0,"Piru Santa Lucía","Álvaro Obregón",2
10,"01520",0,0,"Ampliación Los Pirules","Álvaro Obregón",3
10,"01520",0,0,"Ampliación Estado de Hidalgo","Álvaro Obregón",4
10,"01520",0,0,"El Politoco","Álvaro Obregón",5
10,"01550",2,6,"Tepeaca","Álvaro Obregón",1
10,"01550",0,0,"Rinconada Las Cuevitas","Álvaro Obregón",2
10,"01550",0,0,"Ampliación Tepeaca","Álvaro Obregón",3
10,"01588",70,73,"Tarango","Álvaro Obregón",1
10,"01590",1,3,"El Rincón","Álvaro Obregón",1
10,"01600",24,57,"Merced Gómez","Álvaro Obregón",1
10,"01619",7,41,"La Martinica","Álvaro Obregón",1
10,"01619",0,0,"Rinconada de Tarango","Álvaro Obregón",2
10,"01620",3,7,"Lomas de Tarango","Álvaro Obregón",1
10,"01645",1,1,"Ponciano Arriaga","Álvaro Obregón",1
10,"01700",14,26,"2a Del Moral del Pueblo Tetelpan","Álvaro Obregón",1
10,"01700",0,0,"Tetelpan","Álvaro Obregón",2
10,"01700",0,0,"Tecalcapa del Pueblo Tetelpan","Álvaro Obregón",3
10,"01700",0,0,"San Agustín del Pueblo Tetelpan","Álvaro Obregón",4
10,"01700",0,0,"La Joyita del Pueblo Tetelpan","Álvaro Obregón",5
10,"01700",0,0,"Ocotillos del Pueblo Tetelpan","Álvaro Obregón",6
10,"01710",34,81,"Ampliación Alpes","Álvaro Obregón",1
10,"01710",0,0,"Las Águilas","Álvaro Obregón",2
10,"01720",1,2,"Lomas de Guadalupe","Álvaro Obregón",1
10,"01729",1,3,"Alcantarilla","Álvaro Obregón",1
10,"01730",4,6,"Lomas de las Águilas","Álvaro Obregón",1
10,"01730",0,0,"Puente Colorado","Álvaro Obregón",2
10,"01740",13,44,"La Peñita del Pueblo Tetelpan","Álvaro Obregón",1
10,"01740",0,0,"San Clemente Norte","Álvaro Obregón",2
10,"01740",0,0,"San Clemente Sur","Álvaro Obregón",3
10,"01750",3,6,"Las Águilas 1a Sección","Álvaro Obregón",1
10,"01750",0,0,"Las Águilas 3er Parque","Álvaro Obregón",2
10,"01750",0,0,"Las Águilas 2o Parque","Álvaro Obregón",3
10,"01759",11,25,"Ampliación Las Águilas","Álvaro Obregón",1
10,"01760",11,38,"La Herradura del Pueblo Tetelpan","Álvaro Obregón",1
10,"01760",0,0,"Atlamaya","Álvaro Obregón",2
10,"01760",0,0,"Flor de María","Álvaro Obregón",3
10,"01770",2,6,"La Angostura","Álvaro Obregón",1
10,"01770",0,0,"San José del Olivar","Álvaro Obregón",2
10,"01780",20,58,"Tizampampano del Pueblo Tetelpan","Álvaro Obregón",1
10,"01780",0,0,"Olivar de los Padres","Álvaro Obregón",2
10,"01788",1,1,"El Olivarito","Álvaro Obregón",1
10,"01790",19,42,"Lomas de San Ángel Inn","Álvaro Obregón",1
10,"01790",0,0,"Lomas de los Ángeles del Pueblo Tetelpan","Álvaro Obregón",2
10,"01800",8,24,"San Bartolo Ameyalco","Álvaro Obregón",1
